Question,Vraie,IA,Score,Soutien NLI
(cochez la réponse juste) Quel diagnostic évoquez-...,E,"B,D",0%,0.13
(cochez la réponse juste) Le paramètre suivant est...,B,B,100%,1.0
Le bilan biologique a confirmé la nature choléstat...,A,B,0%,0.11
(cochez la réponse fausse) Le programme national d...,B,D,0%,0.01
(cochez la réponse juste) Quel bilan radiologique ...,A,B,0%,0.0
(cochez la réponse juste) Parmi les radiographies ...,B,B,100%,0.79
Un allongement du temps de saignement avec numérat...,A,D,0%,0.14
La découverte d'une natrémie à 119 mmol/l dans ce ...,D,A,0%,0.0
"Parmi les propositions suivantes, citez pour ce ma...",A,A,100%,1.0
Quel traitement préconisez-vous ?	(Cocher l'associ...,A,D,0%,0.09
Quel vous parait le risque évolutif le plus sévère...,B,"B,C",50%,0.13
Parmi les propositions suivantes caractérisant l'h...,A,A,100%,0.97
Des parents accompagnés de leur fille mineure de 1...,A,A,100%,0.01
Le premier relais ganglionnaire du testicule est :...,A,A,100%,0.0
(cochez la réponse juste) L'anomalie moléculaire a...,E,E,100%,0.02
Vous prescrivez immédiatement :...,A,B,0%,0.0
L'hérédité multifactorielle obéit aux règles suiva...,C,C,100%,0.0
(cochez la réponse juste) Les cardiopathies congén...,C,E,0%,0.0
"Parmi les propositions suivantes, laquelle ne s'ap...",B,B,100%,0.15
"Dans la liste suivante, quel(s) examen(s) peut(ven...",A,A,100%,0.0
"Au 6 et 7ème jour du post-partum, le fond utérin :...",C,D,0%,1.0
"Au quinzième jour de traitement, la malade présent...",E,B,0%,0.02
Quel est le premier diagnostic à évoquer en présen...,B,B,100%,0.02
(cochez la réponse fausse) L'eau totale corporelle...,B,B,100%,0.01
Vous diagnostiquez chez ce patient:	(Cochez la rép...,E,"D,E",50%,1.0
"(cochez la réponse juste) Un sujet de 53 ans, aux ...",E,"B,C",0%,0.0
L'incidence d'une maladie M dans une population do...,C,E,0%,0.01
Une maladie professionnelle peut être indemnisée à...,C,C,100%,0.0
Combien de temps avant le début des symptômes chez...,D,"C,D",50%,0.0
(cochez la réponse juste) Le syndrome de la queue ...,A,"A,D,E",33%,0.01
Un homme de 50 ans a une douleur isolée mécanique ...,C,C,100%,0.0
Un des facteurs suivants inhibe la sécrétion des I...,C,"B,C",50%,0.0
Au sujet des vaccinations :...,A,A,100%,0.0
"Devant une tuméfaction cervicale médiane, juxta-hy...",C,C,100%,0.0
Le traitement de cette patiente fait appel à :...,D,D,100%,0.0
"Chez ce nouveau-né le bilan biologique à montré :...",D,D,100%,0.01
"Pour confirmer le diagnostic de maladie d'Addison,...",A,A,100%,0.0
Parmi les propositions suivantes concernant le dia...,D,D,100%,0.02
Le vaccin antidiphtérique est constitué par :...,C,C,100%,0.16
(cochez la réponse juste) Cette fracture consolide...,C,B,0%,0.0
(cochez la réponse juste) La réaction neuro-hormon...,D,D,100%,0.14
A propos de l'infarctus du myocarde :...,E,A,0%,0.0
Une des affirmations concernant la castration radi...,B,B,100%,0.0
Le signe du liseré pleural est à rechercher devant...,E,B,0%,0.08
Un nourrisson de 18 mois a depuis l'âge de 10 mois...,C,C,100%,0.0
La plaque de psoriasis est caractérisée par un des...,B,B,100%,0.0
(cochez la réponse fausse) Le syndrome de Widal se...,D,C,0%,0.05
"Parmi les acides gras suivants, un d'entre eux élè...",A,A,100%,0.0
"Parmi les antibiotiques suivants, lequel n'a aucun...",C,C,100%,0.01
Quel(s) traitement(s) sera(seront) proposé(s) à Mo...,C,"A,C",50%,0.0
Le syndrome d'automatisme mental de De Clerambault...,B,"A,B,E",33%,0.4
"Parmi les vitamines suivantes, quelle est celle do...",B,B,100%,0.0
"Parmi les agents infectieux suivants, quel est cel...",C,C,100%,0.0
"Dès le lendemain de la prescription, le patient pr...",C,"C,D",50%,0.01
Le syndrome des anti-phospholipides au cours du lu...,E,D,0%,0.0
"Au 8ème jour un sub-ictère apparaît, la T° 38,5° c...",C,C,100%,0.01
"Parmi les examens morphologiques suivants, lequel ...",D,D,100%,0.0
"Compte-tenu de vos réponses aux questions 1 et 2, ...",C,C,100%,0.0
Quelle est votre attitude thérapeutique dans le ca...,B,B,100%,0.09
Quelle(s) est(sont) le(s) test(s) que vous utilise...,E,E,100%,0.0
(cochez la réponse juste) Parmi les complications ...,C,,0%,0.31
"Parmi les caractères cliniques suivants, lequel ma...",B,B,100%,0.0
(cochez la réponse fausse) Au cours de l'Infection...,B,B,100%,0.45
"Parmi les médicaments psychotropes suivants, indiq...",D,"C,D",50%,0.0
Le fibrome nasopharyngien est :...,C,"B,C",50%,0.64
Quel examen allez-vous demander pour confirmer vot...,E,E,100%,0.0
Quelle est la complication évolutive la plus fréqu...,C,C,100%,0.0
Le SIDA :...,E,E,100%,0.0
"Parmi les signes suivants, quel est le premier à s...",B,B,100%,0.1
"Parmi les paramètres biologiques suivants, quel es...",D,D,100%,0.0
Les embolies artérielles rétiniennes trouvent leur...,B,B,100%,0.98
Concernant le dépistage de la surdité les proposit...,B,B,100%,0.02
L'origine médicamenteuse d'un oedème de Quincke es...,E,D,0%,0.66
Quelle doit être la hauteur théorique de l'utérus ...,D,D,100%,0.43
Le bacille à gram négatif découvert à l'examen dir...,D,D,100%,0.28
"L'origine professionnelle étant retenue, la prise ...",E,E,100%,0.01
Les éléments dont vous disposez permettent dès lor...,D,D,100%,0.0
Quel est le mode d'infestation du téniasis Taenia ...,B,B,100%,0.97
Quelle complication évolutive amènerait impérative...,D,D,100%,0.95
Le syndrome d'Alport associe à une surdité de perc...,C,"B,C",50%,0.0
Le lieu principal d'absorption active de l'acide f...,C,"B,C",50%,0.0
Quel examen devra être réalisé sans délai à l'hôpi...,C,C,100%,0.01
Pour obtenir l'examen extemporané d'un prélèvement...,E,E,100%,0.05
La maladie d'Alzheimer se caractérise par les sign...,C,C,100%,0.0
Une surdité de transmission peut être provoquée pa...,C,C,100%,0.0
Si une convulsion était survenue lors de l'épisode...,C,C,100%,0.27
(cochez la réponse juste) Les réactions d'hypersen...,E,"B,E",50%,0.27
"Devant un tel épisode d'agitation, quel est le dia...",C,C,100%,0.02
(cochez la réponse fausse) La structure des HDL co...,D,D,100%,0.96
"Chez le jeune enfant, la cause la plus fréquente d...",D,D,100%,0.02
(cochez la réponse juste) Parmi les lésions suivan...,D,D,100%,0.0
"(cochez la réponse juste) Actuellement en Algérie,...",B,B,100%,0.0
"Dans l'angiocholite, tous ces signes sont retrouvé...",D,D,100%,0.01
Le syndrome de Caplan-Colinet est l'association de...,D,D,100%,0.0
En cas de piqûre accidentelle d'une infirmière non...,D,C,0%,0.01
Le tableau d'œil rouge douloureux est retrouvé dan...,D,D,100%,0.98
Parmi les troubles suivants. lequel constitue une ...,B,B,100%,0.07
L'allopurinol (Zyloric®) abaisse l'uricémie :...,E,E,100%,0.01
(cochez la réponse fausse) Dans le traitement du r...,D,D,100%,0.01
Quel diagnostic faut-il évoquer devant un nodule t...,C,C,100%,0.0
(cochez la réponse juste) La responsabilité pénale...,C,C,100%,0.1
Le titrage des anticorps rubéoliques sériques tota...,A,A,100%,0.0
(cochez la réponse fausse) Quelles complications c...,E,C,0%,0.0
(cochez la réponse juste) Les examens biologiques ...,D,C,0%,0.0
(cochez la réponse juste) La luxation traumatique ...,C,C,100%,0.01
Un malade présente un tableau infectieux avec fièv...,B,B,100%,0.46
(cochez la réponse juste) On définit la prématurit...,E,A,0%,0.27
Quel est le signe subjectif le plus fréquent dans ...,E,E,100%,0.73
Le médecin généraliste avise les autorités judicia...,E,E,100%,0.0
A partir de quelle date la Sécurité Sociale verse-...,B,B,100%,0.0
Un enfant de 5 ans a eu une néphrose lipoïdique do...,B,B,100%,0.0
Parmi les précautions suivantes permettant d'attén...,B,B,100%,0.0
(cochez la réponse fausse) Les examens complémenta...,C,C,100%,0.0
Dans le tableau clinique des convulsions fébriles ...,E,E,100%,0.33
Quelle thérapeutique mettez-vous en route dans l'i...,D,D,100%,0.02
Le vaccin polio-viral :...,E,"D,E",50%,1.0
Le diagnostic de certitude de la pancréatite aiguë...,D,D,100%,0.01
Les cytokines:	(Cochez la réponse fausse)...,D,D,100%,0.0
La survenue dans ce contexte d'un accès palustre v...,C,"A,C",50%,0.02
Quel diagnostic évoquez-vous?...,C,C,100%,0.01
"Devant un oeil rouge, un des signes suivants doit ...",C,C,100%,0.0
Les souches des carnets utilisés pour la prescript...,C,D,0%,0.0
Concernant les hormones thyroïdiennes:	(Cochez la ...,A,A,100%,0.01
Un scotome central est un déficit du champ visuel ...,D,D,100%,0.0
Comment intégrez-vous dans cette histoire l'augmen...,B,C,0%,0.0
L interrogatoire n'ayant pas trouvé de cause toxiq...,D,D,100%,0.0
La sérologie virale est positive pour l'antigène H...,C,C,100%,0.0
Certaines substances présentent un effet antabuse ...,A,"A,E",50%,0.94
Les signes cliniques suivants sont constants lors ...,E,E,100%,0.11
Pour confirmer le diagnostic de pemphigus vulgaire...,D,D,100%,0.41
Une tumeur cervico-utérine classée II b dans la cl...,D,D,100%,0.03
(cochez la réponse fausse) Le récepteur des cellul...,D,"B,D",50%,0.03
